,type,State,startdate,enddate,pollster,samplesize,rawpoll_clinton,rawpoll_trump,poll_id,poll_date,age_days,Votes,Trump_voters
2717,polls-plus,Florida,2016-09-27 00:00:00,2016-10-03 00:00:00,Google Consumer Surveys,1270.0,34.5,42.4,46468,2016-09-30 00:00:00,8.0,29.0,537.0
2750,polls-plus,Florida,2016-08-10 00:00:00,2016-08-10 00:00:00,Opinion Savvy/InsiderAdvantage,622.0,45.2,44.3,44830,2016-08-10 00:00:00,59.0,29.0,275.0
2767,polls-plus,Florida,2016-09-16 00:00:00,2016-09-22 00:00:00,Ipsos,811.0,49.1,45.2,46063,2016-09-19 00:00:00,19.0,29.0,366.0
2863,polls-plus,Florida,2016-05-31 00:00:00,2016-06-02 00:00:00,"Mason-Dixon Polling & Research, Inc.",625.0,45.0,42.0,44188,2016-06-01 00:00:00,129.0,29.0,262.0
2929,polls-plus,Florida,2016-06-11 00:00:00,2016-06-20 00:00:00,Greenberg Quinlan Rosner (Democracy Corps),300.0,49.0,38.0,44529,2016-06-15 12:00:00,114.5,29.0,114.0
2966,polls-plus,Florida,2016-09-21 00:00:00,2016-09-26 00:00:00,Google Consumer Surveys,956.0,34.3,41.3,46243,2016-09-23 12:00:00,14.5,29.0,395.0
2969,polls-plus,Florida,2016-09-09 00:00:00,2016-09-15 00:00:00,Ipsos,722.0,46.3,49.8,45839,2016-09-12 00:00:00,26.0,29.0,359.0
2984,polls-plus,Florida,2016-08-09 00:00:00,2016-09-01 00:00:00,SurveyMonkey,3287.0,42.0,40.0,45351,2016-08-20 12:00:00,48.5,29.0,1314.0
3049,polls-plus,Florida,2016-06-27 00:00:00,2016-06-28 00:00:00,Gravis Marketing,1619.0,48.5,48.5,44489,2016-06-27 12:00:00,102.5,29.0,785.0
3073,polls-plus,Florida,2016-09-14 00:00:00,2016-09-20 00:00:00,Google Consumer Surveys,1125.0,30.2,43.1,45957,2016-09-17 00:00:00,21.0,29.0,485.0
3152,polls-plus,Florida,2016-09-02 00:00:00,2016-09-08 00:00:00,Ipsos,616.0,46.9,47.2,45648,2016-09-05 00:00:00,33.0,29.0,290.0
3178,polls-plus,Florida,2016-09-07 00:00:00,2016-09-13 00:00:00,Google Consumer Surveys,1347.0,30.9,41.0,45751,2016-09-10 00:00:00,28.0,29.0,552.0
3232,polls-plus,Florida,2016-06-21 00:00:00,2016-06-24 00:00:00,YouGov,1192.0,44.0,41.0,44409,2016-06-22 12:00:00,107.5,29.0,488.0
3275,polls-plus,Florida,2016-08-26 00:00:00,2016-09-01 00:00:00,Ipsos,605.0,48.2,44.6,45285,2016-08-29 00:00:00,40.0,29.0,269.0
3293,polls-plus,Florida,2016-06-10 00:00:00,2016-06-16 00:00:00,Saint Leo University,459.0,45.8,33.1,44408,2016-06-13 00:00:00,117.0,29.0,151.0
3340,polls-plus,Florida,2016-08-31 00:00:00,2016-09-06 00:00:00,Google Consumer Surveys,1195.0,31.4,40.0,45448,2016-09-03 00:00:00,35.0,29.0,477.0
3364,polls-plus,Florida,2016-08-19 00:00:00,2016-08-25 00:00:00,Ipsos,666.0,49.0,41.9,45004,2016-08-22 00:00:00,47.0,29.0,278.0
3374,polls-plus,Florida,2016-08-12 00:00:00,2016-08-18 00:00:00,Ipsos,1216.0,48.5,41.4,44947,2016-08-15 00:00:00,54.0,29.0,503.0
3406,polls-plus,Florida,2016-08-24 00:00:00,2016-08-30 00:00:00,Google Consumer Surveys,1360.0,30.9,39.9,45498,2016-08-27 00:00:00,42.0,29.0,542.0
